Region,Number of Laws Searched,Required Recyclables,%Req, Disposal Ban Language,%Dis,Requires Municipalities to Provide Recycling Services,%Muni,Requires Haulers to Provide Recycling Services,%Haul,Requires Haulers to be Registered/Permitted,%Perm,Enforcement Mechanism Language,%Enfo,Language Specific to Residential Recycling,%Res,Language Specific to Commercial/Industrial Recycling,%Comm,Language Specific to Multi-Family Unit Recycling,%MF, Recycling Targets/Diversion Rates,%Rate
Total,141,113,,59,,35,,64,,75,,122,,46,,64,,41,,2,
1,17,13,76%,5,29%,3,18%,3,18%,11,65%,16,94%,12,71%,12,71%,6,35%,2,12%
2,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
3,19,15,79%,8,42%,6,32%,7,37%,10,53%,15,79%,3,16%,8,42%,11,58%,0,0%
4,35,30,86%,21,60%,7,20%,12,34%,17,49%,31,89%,10,29%,17,49%,13,37%,0,0%
5,9,7,78%,5,56%,4,44%,7,78%,8,89%,8,89%,3,33%,4,44%,0,0%,0,0%
6,7,6,86%,2,29%,3,43%,5,71%,5,71%,7,100%,2,29%,1,14%,3,43%,0,0%
7,11,8,73%,6,55%,0,0%,9,82%,6,55%,9,82%,3,27%,2,18%,3,27%,0,0%
8,22,16,73%,7,32%,1,5%,14,64%,13,59%,18,82%,9,41%,8,36%,3,14%,0,0%
9,21,18,86%,5,24%,11,52%,7,33%,5,24%,18,86%,4,19%,12,57%,2,10%,0,0%
